1 1 2 49 1
2 1 1 46 2
1 1 2 41 4
1 1 2 48 1
1 1 1 45 2
2 1 1 46 1
1 1 2 45 1
1 1 2 57 1
3 1 2 43 4
1 1 1 47 1
2 1 1 56 1
1 1 2 44 2
3 1 2 46 4
1 1 1 52 1
2 1 2 44 2
2 1 1 40 1
1 1 2 38 1
2 1 2 33 1
3 1 1 48 1
1 1 1 31 1
1 1 1 42 1
1 1 1 46 4
3 1 1 44 1
1 1 1 54 1
1 1 1 43 1
1 1 1 52 2
1 1 2 45 2
1 1 2 40 2
3 1 1 40 1
3 1 1 50 1
3 1 2 43 1
3 1 1 44 1
1 1 2 53 1
1 1 1 34 1
3 1 1 37 1
2 1 1 46 2
3 1 2 39 1
2 1 2 36 1
3 1 2 40 2
3 1 2 37 6
3 1 1 38 1
2 1 2 44 1
2 1 1 54 1
2 1 2 47 1
2 1 2 34 1
2 1 1 51 1
2 1 2 38 2
3 1 1 49 1
3 1 2 48 1
1 1 2 52 1
2 1 2 41 1
1 1 2 47 2
1 1 1 49 1
1 1 2 47 2
3 1 1 48 1
2 1 1 35 1
2 1 2 43 1
3 1 2 43 1
3 1 1 50 2
1 1 1 38 1
3 1 1 49 1
1 1 1 57 1
1 1 2 44 2
1 1 2 43 1
2 1 1 42 1
2 1 2 38 2
3 1 1 39 1
3 1 2 47 1
1 1 2 48 1
1 1 2 46 1
1 1 2 33 1
1 1 2 43 1
2 1 1 45 3
1 1 2 45 4
1 1 1 47 1
1 1 1 48 1
1 1 1 61 1
1 1 2 34 1
3 1 2 42 1
1 1 2 51 1
1 1 2 43 1
2 1 1 45 2
3 1 1 38 1
3 1 2 37 5
1 1 1 46 3
1 1 1 52 2
3 1 1 60 1
1 1 2 45 1
1 1 2 46 1
1 1 1 47 2
2 1 1 46 1
1 1 2 43 1
1 1 2 55 1
1 1 1 54 1
1 1 1 49 1
2 1 2 37 1
3 1 2 55 1
2 1 1 35 1
1 1 1 39 1
3 1 1 46 1
2 1 2 35 2
1 1 1 54 1
1 1 2 36 1
2 1 2 35 2
2 1 2 44 1
1 1 1 51 1
1 1 2 46 2
1 1 2 57 1
3 1 2 44 1
1 1 1 53 2
2 1 2 43 1
3 1 1 49 1
3 1 2 40 1
2 1 2 44 2
1 1 1 44 1
1 1 2 56 1
2 1 2 38 1
3 1 2 35 2
1 1 2 43 2
1 1 2 50 1
3 1 1 40 1
3 1 1 38 2
2 1 1 46 1
2 1 2 40 1
3 1 1 39 2
2 1 1 35 1
3 1 1 37 1
1 1 1 39 1
1 1 1 45 1
2 1 1 46 1
1 1 1 48 1
2 1 2 49 1
1 1 1 51 2
2 1 1 45 1
3 1 1 35 2
1 1 2 42 1
1 1 2 31 1
1 1 2 36 1
3 1 2 42 1
2 1 1 48 2
1 1 1 49 2
1 1 2 47 1
1 1 2 66 1
1 1 1 45 2
1 1 1 49 1
1 1 1 53 1
1 1 1 43 1
1 1 1 48 2
1 1 2 41 1
1 1 1 58 1
2 1 1 25 1
2 1 1 35 1
2 1 1 48 1
2 1 2 42 2
1 1 2 48 1
1 1 2 54 1
1 1 2 46 1
1 1 1 54 2
1 1 1 46 2
1 1 1 44 1
3 1 2 48 1
2 1 1 43 1
2 1 2 47 1
3 1 2 39 3
1 1 1 60 1
3 1 1 39 5
3 1 2 46 1
1 1 1 48 2
2 1 1 42 1
1 1 2 48 1
3 1 1 36 2
3 1 1 46 2
2 1 2 44 3
1 1 2 46 1
3 1 2 38 1
1 1 1 50 1
1 1 2 41 1
2 1 1 44 1
1 1 2 49 1
1 1 2 32 1
2 1 1 40 1
2 1 1 38 1
3 1 1 42 1
2 1 1 37 1
2 1 2 47 2
3 1 1 40 1
1 1 2 33 1
1 1 1 48 1
2 1 2 37 1
2 1 1 45 3
1 1 2 50 1
1 1 1 37 2
3 1 1 56 1
1 1 1 56 1
2 1 2 42 2
1 1 1 41 1
2 1 2 49 1
3 1 2 38 3
1 1 1 46 1
2 1 1 36 1
2 1 1 43 2
3 1 1 36 1
3 1 1 37 4
3 1 1 37 1
2 1 2 44 3
2 1 2 34 1
2 1 2 35 2
1 1 2 40 1
1 1 2 43 1
1 1 2 43 1
1 1 2 44 2
3 1 1 43 1
2 1 1 40 2
2 1 1 44 1
1 1 2 50 1
1 1 2 49 1
2 1 2 47 2
1 1 1 38 1
2 1 2 40 1
1 1 2 33 1
3 1 1 39 4
3 1 1 37 3
1 1 1 49 3
1 1 2 43 2
1 1 2 39 1
3 1 2 42 1
3 1 2 40 1
1 1 2 53 1
3 1 1 39 3
3 1 1 40 4
2 1 2 24 1
3 1 2 48 1
2 1 1 44 1
1 1 1 48 2
1 1 1 49 1
2 1 1 46 1
2 1 1 36 1
2 1 2 47 2
3 1 1 37 2
1 1 2 45 2
1 1 1 44 1
2 1 1 45 1
3 1 2 39 1
2 1 1 38 1
2 1 1 44 1
1 1 1 52 1
1 1 1 46 2
2 1 2 38 2
2 1 1 53 1
3 1 2 40 2
1 1 1 56 3
1 1 1 50 3
1 1 2 43 2
1 1 1 50 2
2 1 2 44 1
3 1 2 40 3
2 1 1 37 3
3 1 1 49 2
1 1 1 51 1
2 1 1 47 2
1 1 1 51 1
1 1 1 48 1
1 1 2 37 1
3 1 2 48 2
3 1 1 53 2
2 1 1 44 2
2 1 1 44 1
2 1 1 39 1
2 1 2 42 2
3 1 2 46 1
2 1 1 39 2
2 1 2 39 1
2 1 1 41 1
1 1 1 52 1
2 1 1 39 1
1 1 1 53 1
1 1 1 47 1
1 1 1 49 2
1 1 2 40 1
2 1 1 51 1
3 1 1 37 1
1 1 1 48 2
3 1 2 43 1
1 1 2 71 1
1 1 1 37 1
1 1 2 42 1
2 1 2 44 1
3 1 1 40 1
1 1 2 35 1
1 1 1 43 1
2 1 1 40 2
1 1 1 50 3
1 1 2 46 1
3 1 2 37 1
3 1 1 31 1
3 1 1 45 1
3 1 2 47 1
1 1 2 48 1
1 1 1 47 1
1 1 2 48 1
3 1 2 46 1
3 1 1 41 1
3 1 1 53 2
3 1 1 41 1
1 1 2 48 1
1 1 2 36 1
1 1 2 49 1
1 1 2 44 1
2 1 1 35 1
2 1 2 37 1
1 1 1 47 2
2 1 2 56 1
3 1 2 40 1
3 1 2 40 1
2 1 1 40 1
1 1 2 47 2
2 1 1 41 1
1 1 1 46 1
2 1 2 52 1
3 1 2 47 4
3 1 2 38 2
1 1 2 47 1
3 1 2 38 4
3 1 2 51 1
2 1 2 42 1
1 1 1 44 1
3 1 2 50 1
3 1 2 43 1
3 1 1 37 2
3 1 1 39 1
1 1 2 43 2
1 1 2 44 1
1 1 1 46 1
3 1 1 37 1
2 1 1 44 1
2 1 2 43 1
2 1 2 40 1
2 1 1 52 1
2 1 1 51 1
3 1 2 40 2
3 1 1 55 1
3 1 2 45 1
1 1 2 41 1
1 1 2 32 3
1 1 2 38 2
1 1 1 40 1
1 1 1 45 1
3 1 1 39 8
1 1 1 52 1
1 1 1 48 2
1 1 1 48 1
2 1 1 44 3
1 1 1 46 2
2 1 2 39 1
3 1 2 40 1
2 1 1 48 4
1 1 1 60 1
3 1 2 39 1
1 1 1 39 1
1 1 2 54 1
2 1 1 51 2
3 1 2 45 1
2 1 1 51 1
2 1 1 33 2
3 1 1 38 2
3 1 2 36 1
1 1 1 43 2
1 1 2 51 2
1 1 2 52 1
2 1 2 44 1
1 1 2 52 1
2 1 2 39 2
3 1 1 44 1
1 1 2 47 1
1 1 2 49 1
1 1 1 44 1
1 1 1 59 1
3 1 1 38 1
2 1 2 38 1
3 1 2 35 2
3 1 1 45 2
2 1 2 47 1
3 1 1 55 1
1 1 1 49 1
1 1 2 39 1
2 1 1 42 1
1 1 2 43 1
1 1 1 54 1
2 1 2 49 1
1 1 2 37 1
2 1 1 35 1
1 1 2 50 1
2 1 1 44 5
1 1 2 41 1
2 1 1 37 1
3 1 1 62 1
3 1 1 46 1
2 1 1 49 1
1 1 1 45 1
1 1 1 50 1
3 1 1 39 3
3 1 1 54 1
1 1 2 41 1
1 1 2 33 1
3 1 1 42 3
1 1 2 53 1
1 1 2 45 1
1 1 2 48 1
3 1 1 52 1
2 1 1 43 1
1 1 2 40 1
3 1 1 50 1
3 1 2 47 1
1 1 1 47 1
1 1 2 39 1
1 1 1 46 1
3 1 1 47 1
2 1 1 45 1
1 1 1 48 1
3 1 1 44 1
1 1 1 46 2
1 1 1 36 1
1 1 2 34 1
3 1 1 50 2
1 1 2 48 2
2 1 2 40 1
1 1 2 43 1
1 1 2 52 1
1 1 1 49 2
1 1 1 42 3
1 1 2 36 3
1 1 1 47 2
1 1 2 50 1
1 1 2 43 2
2 1 2 42 1
1 1 2 49 1
2 1 1 45 2
1 1 2 51 1
2 1 2 47 1
2 1 2 39 1
2 1 2 46 1
1 1 1 48 2
1 1 2 39 1
2 1 2 45 2
2 1 1 39 1
2 1 1 47 1
1 1 1 42 1
1 1 2 56 1
2 1 1 38 2
1 1 2 43 1
1 1 1 53 1
2 1 1 56 1
1 1 2 45 1
1 1 2 41 2
1 1 2 45 1
2 1 2 44 1
1 1 1 55 1
2 1 2 46 1
1 1 2 47 1
2 1 2 38 2
1 1 1 66 1
2 1 1 43 2
1 1 2 56 1
2 1 2 39 1
2 1 1 41 1
2 1 2 37 1
3 1 1 40 2
2 1 1 27 1
1 1 2 47 2
2 1 1 42 1
3 1 2 43 1
2 1 1 45 2
1 1 1 38 1
3 1 1 53 2
2 1 1 50 2
3 1 2 48 1
3 1 1 49 2
3 1 2 53 1
1 1 1 40 1
3 1 1 52 1
3 1 1 43 1
1 1 2 49 4
2 1 1 30 1
1 1 2 64 1
2 1 2 38 1
3 1 1 38 1
1 1 2 40 1
1 1 1 45 2
1 1 1 41 1
1 1 2 41 2
1 1 2 43 1
1 1 2 44 2
1 1 1 44 1
1 1 1 45 1
2 1 1 40 2
2 1 1 41 1
1 1 2 48 1
2 1 1 51 1
2 1 1 53 1
3 1 1 58 1
2 1 1 49 1
2 1 1 49 6
2 1 2 35 1
2 1 1 46 1
2 1 1 39 2
2 1 2 42 1
3 1 1 48 3
2 1 1 33 1
2 1 2 35 2
3 1 2 40 1
1 1 1 55 1
2 1 1 38 1
2 1 1 34 1
2 1 1 40 1
2 1 2 34 1
3 1 1 43 1
2 1 2 46 1
2 1 2 46 1
2 1 2 34 1
2 1 2 46 1
3 1 2 42 2
3 1 2 44 1
2 1 2 31 1
1 1 1 52 1
2 1 2 39 1
2 1 1 39 1
3 1 2 38 2
2 1 2 50 1
3 1 1 37 1
3 1 1 37 3
3 1 1 37 2
2 1 1 37 1
3 1 1 43 2
2 1 1 54 1
1 1 1 54 1
2 1 2 37 1
1 1 2 44 1
2 1 1 35 2
1 1 1 60 1
1 1 2 45 1
1 1 1 57 1
1 1 2 48 1
1 1 2 47 1
3 1 2 46 2
3 1 2 43 3
3 1 2 46 1
3 1 1 44 3
3 1 2 39 6
3 1 1 46 1
3 1 1 57 1
3 1 1 41 1
1 1 1 33 1
3 1 1 54 1
2 1 2 48 1
3 1 1 41 1
3 1 2 40 2
3 1 1 63 1
3 1 2 46 1
3 1 1 38 4
3 1 1 40 2
3 1 1 47 1
3 1 1 46 1
3 1 2 44 1
2 1 1 43 3
3 1 2 35 2
1 1 2 52 1
1 1 2 41 3
1 1 2 53 2
1 1 1 36 2
1 1 2 41 1
2 1 2 44 2
2 1 2 34 1
3 1 2 35 1
1 1 1 43 1
3 1 2 36 4
3 1 2 39 1
3 1 2 37 3
3 1 2 48 1
2 1 1 41 1
3 1 1 38 2
1 1 2 55 1
1 1 1 44 1
1 1 2 43 1
3 1 2 43 1
3 1 2 46 1
2 1 2 42 2
1 1 2 49 1
1 1 2 60 1
2 1 2 35 1
2 1 2 43 1
1 1 1 48 4
3 1 2 45 3
2 1 1 38 1
3 1 1 48 1
3 1 2 37 1
1 1 1 45 1
1 1 2 59 1
2 1 2 38 1
2 1 1 33 1
3 1 1 37 1
2 1 1 45 1
1 1 2 45 3
1 1 1 51 2
2 1 2 46 1
3 1 2 48 1
1 1 2 40 1
2 1 2 44 2
2 1 1 38 2
3 1 2 47 2
1 1 1 50 3
1 1 2 50 1
1 1 1 54 2
1 1 1 33 1
3 1 2 39 1
2 1 1 38 3
1 1 2 43 1
2 1 2 51 4
3 1 1 39 3
2 1 1 47 2
2 1 1 41 4
1 1 2 51 1
2 1 2 49 1
3 1 1 37 2
3 1 2 40 1
1 1 2 47 1
2 1 1 45 1
2 1 1 49 1
3 1 2 39 1
3 1 1 36 1
1 1 1 48 2
2 1 2 29 1
3 1 2 37 1
2 1 2 38 2
1 1 1 33 1
2 1 2 41 2
2 1 2 47 2
3 1 1 45 2
1 1 1 46 4
1 1 1 44 1
2 1 1 43 2
1 1 2 55 1
1 1 2 48 1
3 1 1 37 1
3 1 2 35 1
3 1 2 48 3
2 1 1 47 1
2 1 2 44 2
2 1 1 45 1
3 1 2 39 2
3 1 2 48 3
1 1 1 43 1
2 1 1 35 1
2 1 2 37 1
1 1 1 48 1
1 1 1 36 1
2 1 1 42 1
1 1 1 41 1
3 1 1 44 1
1 1 1 49 2
3 1 1 40 2
1 1 1 38 1
3 1 1 50 1
1 1 2 34 1
2 1 1 46 1
3 1 1 34 1
1 1 2 49 4
1 1 1 51 1
1 1 2 50 1
1 1 1 35 1
3 1 1 46 1
3 1 2 49 2
3 1 2 44 1
1 1 2 48 1
2 1 1 47 1
2 1 1 44 1
3 1 1 45 1
1 1 1 58 1
1 1 2 51 1
1 1 2 40 2
3 1 2 35 1
2 1 1 44 2
1 1 2 52 1
2 1 1 46 3
3 1 2 43 1
1 1 2 40 1
2 1 2 37 1
2 1 1 44 1
3 1 2 61 1
1 1 1 42 1
3 1 2 39 1
1 1 2 51 2
1 1 1 34 1
2 1 2 44 3
2 1 1 34 1
2 1 1 41 1
3 1 2 47 2
3 1 2 43 1
1 1 2 44 1
2 1 1 41 1
1 1 2 49 1
1 1 2 47 2
1 1 2 46 3
2 1 2 38 2
3 1 2 36 1
3 1 2 44 2
2 1 2 51 1
1 1 1 49 1
2 1 1 33 1
2 1 1 47 3
3 1 2 39 1
1 1 1 44 1
3 1 2 56 1
3 1 2 47 1
1 1 1 49 3
3 1 1 38 2
3 1 1 41 2
2 1 2 42 2
1 1 2 44 2
2 1 2 42 1
2 1 2 44 1
1 1 1 32 1
3 1 1 39 1
1 1 1 45 1
3 1 1 37 2
3 1 1 39 1
3 1 2 41 1
1 1 2 49 2
1 1 2 40 1
2 1 1 41 1
2 1 1 40 1
1 1 2 47 1
2 1 1 45 1
2 1 2 44 1
3 1 2 40 1
1 1 2 52 1
1 1 1 48 1
3 1 1 37 4
3 1 1 41 3
1 1 2 39 1
3 1 1 37 1
2 1 2 26 2
2 1 2 27 2
1 1 1 35 1
1 1 2 46 1
1 1 1 39 1
2 1 2 38 2
1 1 1 44 2
1 1 2 53 1
2 1 2 39 2
1 1 2 45 6
3 1 1 38 2
1 1 1 49 1
1 1 1 52 2
3 1 1 37 5
3 1 1 39 1
3 1 2 41 1
1 1 2 35 2
1 1 1 44 1
1 1 2 40 1
2 1 1 47 2
1 1 2 35 1
3 1 1 39 2
1 1 2 52 2
3 1 1 50 1
1 1 2 45 1
1 1 1 53 1
2 1 1 44 1
3 1 2 37 1
2 1 2 50 1
2 1 1 29 1
2 1 1 41 1
2 1 1 51 1
2 1 2 33 1
3 1 2 38 3
3 1 2 42 1
1 1 1 41 2
3 1 1 39 1
2 1 1 41 2
3 1 2 36 1
1 1 2 44 1
3 1 2 41 1
3 1 2 40 1
2 1 2 42 1
3 1 1 49 2
3 1 1 36 1
3 1 1 40 1
1 1 2 43 1
1 1 2 46 1
1 1 2 51 1
3 1 1 35 6
2 1 2 33 2
3 1 1 50 1
1 1 2 48 2
3 1 2 37 2
1 1 1 49 2
2 1 2 31 1
2 1 2 45 1
2 1 1 54 1
2 1 2 42 2
1 1 2 46 2
1 1 2 44 3
1 1 2 48 2
1 1 1 53 1
1 1 1 58 1
2 1 1 46 3
3 1 2 43 2
2 1 1 46 1
1 1 1 33 1
3 1 2 47 1
1 1 2 50 3
1 1 2 61 1
1 1 1 48 2
2 1 1 37 1
2 1 2 34 1
2 1 2 42 1
1 1 1 72 1
3 1 1 43 1
1 1 2 41 1
1 1 2 47 1
2 1 1 47 4
2 1 1 47 1
1 1 2 41 2
1 1 2 52 1
1 1 1 54 1
1 1 2 44 1
1 1 2 51 2
3 1 2 37 3
1 1 2 47 1
1 1 2 34 1
3 1 1 50 2
3 1 2 38 1
3 1 2 46 3
3 1 1 47 1
2 1 1 39 1
2 1 1 45 1
2 1 1 40 1
3 1 2 45 1
2 1 2 49 1
1 1 2 46 4
1 1 2 41 1
2 1 1 45 1
3 1 1 48 1
3 1 2 39 2
3 1 2 42 1
2 1 2 41 1
2 1 2 46 1
1 1 1 46 1
1 1 1 48 1
2 1 2 43 1
2 1 2 43 2
3 1 2 41 1
3 1 2 45 1
3 1 1 40 1
1 1 2 38 1
1 1 1 48 2
2 1 2 50 1
1 1 1 52 1
3 1 1 42 2
1 1 1 54 1
2 1 1 40 2
2 1 2 45 1
2 1 2 39 1
2 1 2 40 1
2 1 1 33 1
2 1 2 46 1
1 1 1 48 1
3 1 2 54 1
1 1 2 46 2
1 1 2 52 1
2 1 1 47 1
2 1 1 43 1
3 1 1 43 1
2 1 1 46 2
1 1 1 35 1
2 1 1 45 1
1 1 1 36 1
1 1 2 43 1
2 1 1 40 1
3 1 2 41 1
3 1 1 52 1
2 1 1 41 1
1 1 1 49 2
3 1 1 46 1
2 1 2 42 1
3 1 1 35 1
3 1 1 41 1
2 1 1 36 2
1 1 1 41 1
1 1 1 48 1
3 1 1 55 1
2 1 2 48 1
3 1 2 39 2
2 1 2 34 1
1 1 2 45 2
3 1 1 36 1
2 1 1 42 1
2 1 1 48 1
3 1 1 35 1
3 1 1 47 1
2 1 1 43 2
3 1 2 48 1
3 1 1 37 1
2 1 2 44 1
2 1 2 44 1
2 1 2 36 1
1 1 1 49 1
2 1 1 39 1
3 1 1 42 2
1 1 1 55 2
1 1 2 48 1
2 1 1 35 1
2 1 2 36 1
3 1 1 49 1
1 1 2 53 1
1 1 1 49 1
1 1 1 55 1
2 1 2 37 1
1 1 1 48 1
1 1 1 47 5
2 1 1 25 2
2 1 2 44 2
1 1 2 46 1
3 1 1 47 1
3 1 1 52 1
1 1 1 45 4
1 1 2 48 1
1 1 2 39 1
1 1 2 30 2
1 1 1 63 1
1 1 2 34 3
1 1 1 45 2
1 1 1 46 1
3 1 2 36 1
1 1 1 51 1
2 1 1 52 2
3 1 1 47 1
2 1 1 37 2
3 1 2 49 2
3 1 2 36 2
2 1 2 37 1
1 1 1 47 1
1 1 2 48 1
1 1 1 53 3
2 1 2 37 1
2 1 2 47 1
1 1 1 52 1
2 1 1 47 1
2 1 1 56 1
3 1 2 24 2
1 1 1 55 3
1 1 2 44 1
1 1 2 42 1
1 1 2 37 1
3 1 2 44 4
1 1 1 49 2
2 1 1 52 2
2 1 1 41 1
1 1 2 46 5
3 1 2 42 2
3 1 1 37 1
1 1 1 51 1
2 1 1 35 2
2 1 1 47 1
3 1 1 43 1
3 1 2 40 1
2 1 1 34 1
1 1 1 51 1
1 1 2 53 1
2 1 2 36 2
2 1 1 35 1
3 1 1 38 1
2 1 2 26 1
3 1 1 41 1
2 1 2 37 3
2 1 1 44 1
2 1 1 43 1
2 1 1 40 1
1 1 1 42 1
3 1 2 38 1
2 1 2 40 2
3 1 1 48 1
1 1 1 46 2
1 1 1 45 1
2 1 2 36 1
2 1 2 38 1
2 1 1 42 1
1 1 2 44 1
2 1 1 34 1
1 1 1 45 1
1 1 1 49 1
2 1 2 44 3
1 1 1 70 1
3 1 1 39 3
3 1 2 36 1
1 1 2 48 3
3 1 2 41 1
2 1 2 45 3
1 1 1 63 1
1 1 1 50 1
1 1 1 31 1
2 1 1 33 1
1 1 1 54 1
1 1 2 44 4
3 1 2 44 1
1 1 2 49 1
3 1 2 38 2
1 1 2 51 1
1 1 1 35 1
1 1 1 50 1
3 1 2 50 1
1 1 2 40 3
1 1 1 39 1
2 1 2 38 1
1 1 1 64 2
1 1 2 45 2
1 1 2 47 4
3 1 2 50 1
3 1 2 45 1
1 1 1 46 2
2 1 2 24 1
3 1 2 35 1
2 1 1 43 1
2 1 2 46 1
1 1 2 48 4
3 1 1 31 1
3 1 2 44 1
1 1 2 48 1
2 1 1 31 1
2 1 2 42 1
3 1 2 44 1
3 1 1 41 1
2 1 1 36 2
1 1 2 44 3
2 1 2 50 1
2 1 2 36 1
3 1 2 52 1
3 1 1 38 2
2 1 2 43 1
2 1 1 49 2
1 1 2 38 1
2 1 1 35 1
3 1 1 54 1
3 1 2 39 1
1 1 1 48 1
3 1 2 35 3
3 1 2 40 1
1 1 1 50 1
1 1 1 46 1
2 1 1 37 1
3 1 2 51 4
2 1 1 36 1
2 1 1 40 1
2 1 1 45 1
2 1 2 44 2
1 1 2 48 2
2 1 2 47 1
2 1 2 44 1
2 1 2 48 1
1 1 2 45 1
1 1 1 56 2
1 1 2 44 5
2 1 2 41 1
3 1 1 45 1
3 1 2 43 1
3 1 1 41 1
1 1 2 50 1
1 1 2 29 1
2 1 1 44 1
2 1 1 42 1
2 1 1 49 1
1 1 1 54 1
1 1 2 48 1
1 1 1 51 2
2 1 1 38 2
2 1 1 50 1
2 1 2 27 2
1 1 1 44 2
3 1 1 40 1
2 1 1 46 1
3 1 1 37 5
1 1 2 46 2
1 1 2 45 1
1 1 2 37 1
2 1 1 45 1
2 1 2 37 3
2 1 1 54 1
3 1 1 36 2
2 1 1 44 4
3 1 2 36 1
3 1 2 39 4
3 1 1 52 2
1 1 1 55 1
3 1 2 40 1
3 1 2 37 2
2 1 2 39 2
1 1 1 48 2
1 1 2 51 1
1 1 2 45 2
2 1 1 46 1
2 1 1 48 1
2 1 1 45 1
1 1 1 47 1
1 1 1 30 1
1 1 2 47 2
3 1 1 44 3
1 1 2 47 3
2 1 2 41 1
1 1 1 37 1
1 1 2 45 1
3 1 2 38 1
1 1 2 49 1
2 1 1 42 1
1 1 2 52 2
3 1 2 42 2
1 1 2 51 1
1 1 2 60 1
1 1 1 34 1
2 1 2 48 2
1 1 1 46 1
1 1 2 48 2
1 1 2 45 1
1 1 2 47 1
1 1 2 43 2
3 1 2 35 2
3 1 2 38 2
3 1 2 41 1
3 1 2 39 2
1 1 2 49 1
3 1 2 35 1
1 1 2 50 2
2 1 2 35 3
2 1 2 43 1
1 1 2 45 2
1 1 2 40 1
2 1 1 45 2
2 1 1 33 4
1 1 1 50 1
2 1 2 37 1
1 1 2 39 1
1 1 2 39 1
2 1 2 43 2
3 1 2 49 2
1 1 2 51 2
1 1 1 52 1
3 1 2 40 1
2 1 1 47 5
1 1 1 47 2
1 1 1 38 1
3 1 1 63 1
1 1 2 49 2
3 1 2 35 2
3 1 1 41 2
1 1 2 50 2
3 1 1 39 1
1 1 1 49 1
3 1 1 43 2
3 1 1 42 1
1 1 1 52 1
3 1 1 39 2
2 1 1 36 1
1 1 1 47 1
3 1 2 38 1
1 1 1 37 1
1 1 2 42 1
1 1 1 45 1
1 1 2 37 1
3 1 1 39 2
1 1 1 30 1
1 1 1 51 2
3 1 2 42 1
2 1 2 38 1
2 1 1 44 1
1 1 2 55 1
1 1 2 49 1
1 1 2 35 3
1 1 1 50 2
3 1 1 36 2
1 1 1 39 1
1 1 2 40 1
2 1 2 46 1
2 1 1 28 1
2 1 2 43 1
1 1 2 47 2
1 1 2 49 3
1 1 2 50 2
1 1 1 44 1
3 1 1 48 2
2 1 1 33 2
1 1 1 40 1
2 1 1 38 1
1 1 2 48 1
1 1 1 51 1
2 1 2 35 1
1 1 2 54 1
1 1 1 49 2
1 1 1 45 1
1 1 2 47 2
1 1 1 46 2
1 1 1 36 2
1 1 1 48 2
1 1 2 42 1
1 1 1 47 3
1 1 2 54 1
1 1 2 41 1
2 1 1 36 1
2 1 2 46 4
1 1 2 60 1
1 1 2 59 1
2 1 2 23 1
1 1 2 44 3
2 1 1 49 2
1 1 1 60 1
2 1 2 35 1
2 1 1 41 2
2 1 2 44 1
2 1 2 45 1
2 1 2 45 1
1 1 2 36 1
2 1 1 48 2
2 1 2 41 2
2 1 2 48 1
1 1 2 36 1
1 1 1 51 1
1 1 1 47 1
2 1 2 45 3
1 1 2 42 2
2 1 2 49 2
1 1 1 47 1
1 1 1 39 1
1 1 2 36 1
2 1 1 52 1
1 1 1 55 1
1 1 2 47 3
3 1 2 37 1
2 1 2 35 1
2 1 2 42 1
1 1 1 46 1
2 1 2 30 1
1 1 2 34 1
2 1 2 40 3
2 1 1 31 1
2 1 1 50 2
2 1 1 38 1
2 1 2 44 1
3 1 1 44 2
3 1 1 38 2
3 1 2 40 2
2 1 2 41 1
3 1 2 38 2
1 1 1 53 1
3 1 2 36 1
1 1 1 50 1
3 1 2 49 1
2 1 1 39 3
2 1 1 50 1
2 1 1 35 1
1 1 1 69 1
1 1 2 45 1
3 1 2 51 1
1 1 2 57 1
2 1 2 37 2
1 1 1 53 1
3 1 2 40 1
2 1 2 37 2
2 1 1 53 1
2 1 2 34 3
1 1 1 48 1
2 1 2 43 1
1 1 1 44 1
1 1 2 53 1
2 1 2 46 1
2 1 2 44 2
2 1 2 43 5
2 1 2 34 1
3 1 1 37 4
2 1 2 37 1
2 1 1 36 2
3 1 2 45 2
3 1 1 47 1
2 1 2 43 1
3 1 1 40 1
3 1 1 49 1
3 1 1 38 2
2 1 2 36 2
1 1 2 48 2
2 1 2 38 1
3 1 2 40 2
2 1 1 40 1
2 1 2 43 1
1 1 1 51 1
2 1 2 37 3
2 1 1 50 1
3 1 2 39 1
3 1 2 41 1
3 1 2 38 1
2 1 1 36 2
3 1 2 39 1
3 1 2 39 2
3 1 2 39 3
1 1 2 40 2
1 1 1 54 1
1 1 1 38 1
3 1 1 36 3
3 1 2 49 1
1 1 2 43 1
1 1 2 46 1
1 1 2 39 1
1 1 1 43 1
3 1 2 52 2
3 1 2 46 3
2 1 1 35 1
3 1 2 40 1
3 1 2 37 3
3 1 2 34 1
3 1 1 37 2
3 1 2 39 1
3 1 2 36 1
3 1 1 40 1
3 1 2 42 1
3 1 1 45 1
3 1 2 36 2
2 1 1 49 2
3 1 1 43 1
3 1 2 44 1
3 1 1 37 1
3 1 2 44 1
1 1 2 55 1
1 1 1 45 1
3 1 1 51 1
1 1 2 48 1
3 1 2 53 1
1 1 2 43 1
1 1 2 44 1
1 1 2 49 1
1 1 1 48 2
2 1 1 48 1
1 1 2 40 1
1 1 1 42 1
1 1 2 52 1
2 1 2 51 1
1 1 1 45 2
2 1 1 37 3
1 1 1 45 2
3 1 1 55 1
1 1 1 54 1
1 1 2 43 1
1 1 1 45 1
1 1 2 51 2
2 1 2 46 1
1 1 1 27 1
2 1 2 42 1
1 1 1 47 1
1 1 2 44 1
3 1 1 41 1
1 1 1 44 3
3 1 2 48 1
3 1 1 36 1
3 1 1 49 1
2 1 2 27 1
2 1 2 37 4
1 1 2 44 2
1 1 1 41 1
1 1 1 30 2
2 1 1 48 1
1 1 2 55 1
3 1 1 55 1
3 1 1 39 3
2 1 1 35 1
2 1 2 42 1
2 1 2 26 1
2 1 1 40 1
2 1 1 37 1
3 1 2 47 1
3 1 2 36 1
2 1 2 38 1
1 1 1 46 3
1 1 2 41 1
1 1 1 47 1
3 1 1 35 1
2 1 1 47 4
1 1 1 48 2
1 1 2 53 1
1 1 2 46 1
1 1 1 56 1
1 1 2 43 2
1 1 2 48 1
2 1 2 42 3
2 1 2 43 1
2 1 1 46 2
3 1 2 37 1
3 1 1 41 2
2 1 1 57 1
3 1 1 53 1
1 1 2 43 1
1 1 2 45 1
2 1 1 52 1
1 1 1 50 2
3 1 2 47 1
2 1 1 52 1
1 1 2 42 1
